[18:21:18.881] Namespace(root_path='/home/vkapoor/workspace/Deep_Learning_Fall24/final_project/STA-Mamba/data/Synapse/train_npz', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, output_dir='/home/vkapoor/workspace/Deep_Learning_Fall24/final_project/STA-Mamba/weights', max_iterations=30000, max_epochs=150, batch_size=4, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False, gpu_id=0, lambda_x=0.015, dino_weight=0.3, alpha=20.0, sigma=5.0)
[18:21:18.907] 553 iterations per epoch. 82950 max iterations 
[18:21:22.776] iteration 0 : loss : 1.620433, loss_dice 0.982015 loss_ce: 2.578060
[18:21:23.095] iteration 1 : loss : 1.564577, loss_dice 0.955728 loss_ce: 2.477851
[18:21:23.413] iteration 2 : loss : 1.466317, loss_dice 0.940824 loss_ce: 2.254556
[18:21:23.727] iteration 3 : loss : 1.355479, loss_dice 0.942725 loss_ce: 1.974610
[18:21:24.042] iteration 4 : loss : 1.234743, loss_dice 0.955102 loss_ce: 1.654204
[18:21:24.359] iteration 5 : loss : 1.080015, loss_dice 0.896862 loss_ce: 1.354745
[18:21:24.674] iteration 6 : loss : 0.953615, loss_dice 0.876664 loss_ce: 1.069041
[18:21:24.989] iteration 7 : loss : 0.830580, loss_dice 0.860904 loss_ce: 0.785094
[18:21:25.304] iteration 8 : loss : 0.739717, loss_dice 0.851291 loss_ce: 0.572356
[18:21:25.619] iteration 9 : loss : 0.662080, loss_dice 0.845051 loss_ce: 0.387624
[18:21:25.934] iteration 10 : loss : 0.650125, loss_dice 0.835658 loss_ce: 0.371824
[18:21:26.250] iteration 11 : loss : 0.628205, loss_dice 0.836779 loss_ce: 0.315342
[18:21:26.566] iteration 12 : loss : 0.565533, loss_dice 0.879327 loss_ce: 0.094842
[18:21:26.881] iteration 13 : loss : 0.561930, loss_dice 0.850962 loss_ce: 0.128381
[18:21:27.195] iteration 14 : loss : 0.629627, loss_dice 0.865622 loss_ce: 0.275634
[18:21:27.510] iteration 15 : loss : 0.556132, loss_dice 0.867343 loss_ce: 0.089316
[18:21:27.825] iteration 16 : loss : 0.600081, loss_dice 0.867621 loss_ce: 0.198772
[18:21:28.140] iteration 17 : loss : 0.541292, loss_dice 0.881292 loss_ce: 0.031291
[18:21:28.456] iteration 18 : loss : 0.551212, loss_dice 0.887694 loss_ce: 0.046489
[18:21:28.771] iteration 19 : loss : 0.644013, loss_dice 0.874062 loss_ce: 0.298940
[18:21:29.353] iteration 20 : loss : 0.651933, loss_dice 0.865618 loss_ce: 0.331404
[18:21:29.668] iteration 21 : loss : 0.617260, loss_dice 0.864699 loss_ce: 0.246100
[18:21:29.982] iteration 22 : loss : 0.612104, loss_dice 0.858587 loss_ce: 0.242380
[18:21:30.296] iteration 23 : loss : 0.573658, loss_dice 0.841470 loss_ce: 0.171939
[18:21:30.611] iteration 24 : loss : 0.628334, loss_dice 0.847448 loss_ce: 0.299664
[18:21:30.926] iteration 25 : loss : 0.565841, loss_dice 0.850531 loss_ce: 0.138805
[18:21:31.241] iteration 26 : loss : 0.557963, loss_dice 0.841822 loss_ce: 0.132175
[18:21:31.555] iteration 27 : loss : 0.557271, loss_dice 0.870155 loss_ce: 0.087945
[18:21:31.870] iteration 28 : loss : 0.536981, loss_dice 0.793519 loss_ce: 0.152174
[18:21:32.185] iteration 29 : loss : 0.557540, loss_dice 0.829733 loss_ce: 0.149251
[18:21:32.499] iteration 30 : loss : 0.538122, loss_dice 0.793619 loss_ce: 0.154875
[18:21:32.815] iteration 31 : loss : 0.571232, loss_dice 0.870819 loss_ce: 0.121851
[18:21:33.131] iteration 32 : loss : 0.565539, loss_dice 0.886135 loss_ce: 0.084645
[18:21:33.446] iteration 33 : loss : 0.570901, loss_dice 0.796518 loss_ce: 0.232476
[18:21:33.764] iteration 34 : loss : 0.566604, loss_dice 0.867050 loss_ce: 0.115935
[18:21:34.080] iteration 35 : loss : 0.571799, loss_dice 0.848666 loss_ce: 0.156500
[18:21:34.396] iteration 36 : loss : 0.592305, loss_dice 0.858801 loss_ce: 0.192560
[18:21:34.711] iteration 37 : loss : 0.552142, loss_dice 0.801162 loss_ce: 0.178613
[18:21:35.026] iteration 38 : loss : 0.552331, loss_dice 0.820573 loss_ce: 0.149969
[18:21:35.342] iteration 39 : loss : 0.539316, loss_dice 0.791400 loss_ce: 0.161190
[18:21:35.691] iteration 40 : loss : 0.574366, loss_dice 0.798674 loss_ce: 0.237903
[18:21:36.009] iteration 41 : loss : 0.568573, loss_dice 0.777153 loss_ce: 0.255702
[18:21:36.326] iteration 42 : loss : 0.543848, loss_dice 0.804782 loss_ce: 0.152447
[18:21:36.641] iteration 43 : loss : 0.559779, loss_dice 0.852684 loss_ce: 0.120421
[18:45:00.954] Namespace(root_path='/home/vkapoor/workspace/Deep_Learning_Fall24/final_project/STA-Mamba/data/Synapse/train_npz', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, output_dir='/home/vkapoor/workspace/Deep_Learning_Fall24/final_project/STA-Mamba/weights', max_iterations=30000, max_epochs=150, batch_size=1, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, opts=None, zip=False, cache_mode='part', resume=None, accumulation_steps=None, use_checkpoint=False, amp_opt_level='O1', tag=None, eval=False, throughput=False, gpu_id=0, lambda_x=0.015, dino_weight=0.3, alpha=20.0, sigma=5.0)
[18:45:01.012] 2211 iterations per epoch. 331650 max iterations 
[18:45:02.309] iteration 0 : loss : 1.618210, loss_dice 0.981856 loss_ce: 2.572742
[18:45:02.416] iteration 1 : loss : 1.567959, loss_dice 0.979513 loss_ce: 2.450628
